작성일,출처,제목,내용
2013-11-17,https://ko.wikinews.org/wiki/%ED%9B%84%EC%BF%A0%EC%8B%9C%EB%A7%88_%EC%9B%90%EC%A0%84%EC%97%90%EC%84%9C_%EB%B0%A9%EC%82%AC%EB%8A%A5_%EC%98%A4%EC%97%BC%EC%88%98_%EB%98%90_%EB%88%84%EC%B6%9C,후쿠시마 원전에서 방사능 오염수 또 누출,"일본 후쿠시마의 오염수가 또 누출됐다.
원전 부지 내 오염수 탱크 지역 중 G6 남쪽 탱크 1기에서 오염수가 4초마다 1방울씩 떨어지는 것이 확인됐다는 것이다.
탱크는 볼트와 철판을 조립해 만든 것으로 누수 발견 후 볼트를 조여 누수를 멈추게 했다는 것이다. 누수된 양은 약 11ℓ 정도이며, 근처의 방사선량은 베타선 30mSv(밀리시버트) 정도이다.
이번 유출은 원전 사고 이후 첫 오염수 유출의 확인이다. 이번 사건으로 도쿄원전은 원전 현장의 노동자 일당을 두 배로 늘렸다."
2013-11-18,https://ko.wikinews.org/wiki/%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_2010_%EC%9D%B8%EA%B5%AC%EC%A3%BC%ED%83%9D%EC%B4%9D%EC%A1%B0%EC%82%AC_%EA%B2%B0%EA%B3%BC_%EB%B6%84%EC%84%9D_%EB%82%98%EC%99%80,대한민국 2010 인구주택총조사 결과 분석 나와,"2010년 대한민국 인구주택총조사 결과가 나왔다.
여성이 결혼을 한 후, 출산, 육아를 하는 동안 고용률이 현저히 줄어드는 결과가 나왔다. 남성은 노동시장에 진입한 후에 꾸준히 고용률을 높게 유지하지만, 여성은 출산과 육아에 의한 경력 단절 때문에 고용률이 M자형으로 함몰된다는 것이 통계개발원의 분석이다. 이에 따라 여성의 결혼 연령도 늦어지고 있다. 1956~1960년생(53~57세) 여성은 30~34세경에 미혼율이 5.3%이었지만, 1976~1980년(33~37세) 여성은 29.1%가 미혼이었다. 셋 중 한 명은 솔로라는 의미다.
교육 수준은 높아져 20대의 대학교·대학원 졸업 비율이 80퍼센트를 넘었다. 특히 여성의 대졸 비율이 가파르게 상승해 1956~1960년생(53~57세) 여성은 25~29세 대졸 이상 비율이 고작 10.2% 정도지만, 1976~1980년생(33~37세) 여성은 59.1%를 기록했다. 그에 반해 청년의 취업문은 좁아져 전체 취업인구 중 청년기 (20~29세)의 비중은 1990년 26.4%에서 2010년 15.3%로 11.1% 감소했다.
최근 출생한 아이들의 고향은 대부분 수도권(서울,인천,경기도)이 대부분인 것으로 집계되었다. 수도권 출생 비중은 1950년대 출생자에게는 21.3%였지만 2006년~2010년 출생자에게는 50%에 달했다. 가족 확장기에는 아파트에 많이 거주하고, 가족 소멸기에는 단독주택으로 옮겨가는 경향을 보였다."
2013-11-19,"https://ko.wikinews.org/wiki/%EB%B0%95%EA%B7%BC%ED%98%9C_%EB%8C%80%ED%86%B5%EB%A0%B9,_%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_%EA%B5%AD%ED%9A%8C%EC%97%90%EC%84%9C_%EC%8B%9C%EC%A0%95%EC%97%B0%EC%84%A4","박근혜 대통령, 대한민국 국회에서 시정연설","박근혜 대한민국 대통령이 18일(월), 국회에서 시정연설을 했다.
박근혜 대통령은 국회에서 28분 동안의 연설 동안 34%를 경제에, 11%를 정치에 할애했다. 강조점을 두면서도 꼬인 정국의 해결책을 제시하려 했다는 평가다. 원고는 총 44장 분량으로, 경제 부흥, 국민 행복, 문화 융성, 평화통일 기반 구축의 4가지 국정 기조별로 2014년도 예산안 편성 배경을 설명했다. 박 대통령은 국회에 민생 관련 법안의 빠른 통과를 요청하기도 했다.
박근혜 대통령이 시정연설을 하러 국회 본회의장에 입장할 때, 새누리당만 박수를 보내고 민주당과 통합진보당 등 야당은 박수를 치지 않았다. 통합진보당 소속 의원은 '민주'라 적힌 마스크를 착용해 이석기 의원의 기소에 대한 항의의 뜻을 나타냈다."
2013-11-20,"https://ko.wikinews.org/wiki/%EA%BF%88%EC%9D%98_%EC%B4%88%ED%8A%B9%EA%B8%89,_%EC%A3%BC%EC%98%A4_%EC%8B%A0%EC%B9%B8%EC%84%BC%EC%9C%BC%EB%A1%9C_%EB%8B%A4%EC%8B%9C","꿈의 초특급, 주오 신칸센으로 다시","도카이 여객철도 주식회사(JR東海, JR도카이)는 도쿄-오사카 간 주오 신칸센(中央新幹線) 중 도쿄-나고야 간을 2027년까지 개통시키려 한다. 주오 신칸센은 자기부상열차로 개통이 되며, 공사비는 모두 자부담으로 한다. 이후, 2045년까지 오사카까지 전구간 개통을 목표로 하고 있다.
해당 구간 중 87퍼센트는 지하 구간으로 달린다. 또한, JR도카이는 열차 시험을 위해서 야마나시 시험선을 18km에서 42km으로 확장시켰다. 또한, 주오 신칸센 개통시 사용될 열차인 L0계도 선보일 예정이다.
이는 1960년대에 일본 혼슈의 남부 해안을 따라 건설된, 꿈의 초특급으로 불렸던 도카이도 신칸센이 개통된 이후 50년만에 나온 계획이다."
2013-11-20,"https://ko.wikinews.org/wiki/%EC%9D%BC%EB%B3%B8,_%EC%95%88%EC%A4%91%EA%B7%BC%EC%9D%80_%EB%B2%94%EC%A3%84%EC%9E%90_%EB%B0%9C%EC%96%B8","일본, 안중근은 범죄자 발언","일본 정부 대변인 스가 요시히데(菅義偉) 관방장관이 안중근 의사는 일본에서 범죄자라는 말을 해 논란이 되고 있다.
이 발언은 19일 박근혜 대통령의 안중근 의사 표지석 설치 언급을 겨냥한 것으로, 스가 장관은 박 대통령이 18일 방한한 양제츠 중국 외교담당 국무위원에게 정상회담에서 논의된 표지석 설치에 관한 내용이 잘 진행되고 있다는 사의를 표시한 데 대해 ""이러한 움직임은 한일관계에 도움이 되지 않는다""는 비판을 했다. 그는 ""일본 정부는 그동안 안중근이 범죄자라는 입장을 줄곧 한국 정부에 전해왔""다며 ""일본의 주장을 분명히 한국에 전달하겠""다고까지 말했다. 이러한 발언에 대해 대한민국 누리꾼은 비판의 화살을 날리고 있다.
대한민국 정부는 이 발언에 대해 유감을 표했다. 조태영 외교부 대변인은""일본이 과거 제국주의 시대에 얼마나 악한 일을 했는가가 다시 나타난 것""이라며, ""그 점을 일본이 잘 인식해야 할 것""이라고 했다. 또 ""안중근 의사는 우리나라의 독립과 동양 평화를 위해 목숨을 바친 분""이라며, ""역사를 겸허히 직시할 것""을 촉구했다.
한편 중국 외교부는 ""안 의사는 존경받는 저명한 항일의사""라며 외국인 기념시설 규정에 따라 안중근 의사 표지석 설치를 추진할 것이라고 했다."
2013-11-21,https://ko.wikinews.org/wiki/%EB%8C%80%ED%95%9C%EB%AF%BC%EA%B5%AD_%EC%A0%84%EA%B8%B0_%EC%9A%94%EA%B8%88_%EC%9D%B8%EC%83%81,대한민국 전기 요금 인상,"오늘부터 대한민국의 전기료가 5.4% 오른다. 이는 연초 평균 4% 인상한 지 10개월 만의 재 인상이다.
용도별로 산업용 6.4%, 대형건물이 사용하는 일반용 5.8%, 주택용 2.7%, 농업용 전기가 3% 인상되었고, 학교에서 쓰는 교육용 전기료는 동결되었다. 또 전기 생산에 쓰이는 발전용 유연탄에 내년부터 개별소비세가 부과되고, 전기를 대체하는 LPG와 등유의 세율은 인하된다.
한편 전기료의 인상으로 가장 많은 인상요율을 감당해야 하는 산업계는 3년 사이 30%의 인상은 부적절하다는 주장이다. 원자력발전소의 중단으로 발생한 손해를 왜 기업이 떠안아야 하냐는 것이다. 원전이 중단됨으로써 원가가 비싼 LPG발전소에서 많은 전기를 사오게 되었고, 이에 따라 발생한 비용 손해는 한전이 자구책으로 떠안아야 하는 부분이라는 것이다. 또, 원가 회수율에 관련해서도 공방이 이어지고 있다. 정부는 연 1회 지난 해 상황을 반영한 결산 수치를 내놓는데, ""환율 유가 등 변수가 많기 때문에 수치공개가 조심스러울 수 밖에 없고, 특히 요금 인상후 예측치를 공개하면 불필요한 오해와 논란만 가중""된다는 것이다. 그러나 산업계는 ""계속된 요금인상으로 이미 원가회수율이 충분히 올라간 것으로 안다. 그런데도 공개하지 않는다면 전기요금정책의 투명성을 의심하지 않을 수 없다""고 반박하고 있다."
2013-11-22,https://ko.wikinews.org/wiki/%EC%98%81%EA%B5%AD_%EB%9F%B0%EB%8D%98%EC%97%90%EC%84%9C_30%EB%85%84%EA%B0%84_%EB%85%B8%EC%98%88_%EC%83%9D%ED%99%9C%EC%9D%84_%ED%95%98%EB%8D%98_%EC%97%AC%EC%84%B1_%EC%84%B8_%EB%AA%85_%EA%B5%AC%EC%B6%9C,영국 런던에서 30년간 노예 생활을 하던 여성 세 명 구출,"런던 경찰국은 어제 런던 남부에서 30년간 감금 상태에서 노예 생활을 하던 여성 세명을 구출했다고 밝혔다. 그들은 여자 중 한명이 그들의 상황을 인권 단체에 알리면서 알려져 지난 10월 25일 구조되었다.
경찰 대변인은 ""경찰은 자유 구호(Freedome Charity)에서 자신이 30년 이상 노예 생활을 해 왔다고 주장하는 여성의 전화를 받았다는 것을 전달받았다. 추가적인 질문 후에, 경찰은 그 집의 위치를 알아냈고, 자유 구호의 세심한 접촉으로, 69세의 말레이시아 여성, 57세의 아일랜드 여성, 30세의 영국 여성 세명이 모두 구출되었다""고 말했다.
세 여성은 두명의 67세 남녀가 자신들을 감금하고 있었다고 주장한다. 두 남녀는 체포되었으나, 보석으로 출감했다. 30세의 영국 여성은 ""외부와의 접촉이 일절 없었다"". 가해자와 피해자는 모두 국적이 다른 관계로 혈연 관계는 아닌 것으로 알려졌다.
영국 경찰은 이 사건을 현대 영국 사상 최악의 노예 사건 중 하나라고 설명했다. 이 사건을 경찰에 신고한 자유 구호는, 아일랜드 여성이 ITV에서 강요된 결혼 피해에 관한 다큐멘터리를 보고 연락하면서 알려졌다고 말했다. 전화 1주일 후, 추가적인 수사 후에 여성들은 자유를 되찾았다.
케빈 해럴드 경감은 경찰이 이러한 규모의 사건을 본 적이 없으며, 여성들이 외상성 정신 장애를 앓고 있다고 말했다. 경찰은 피해자의 상태가 좋지 않아 가해자의 재 체포까지 4주 이상 걸릴 것으로 예상하고 있다."
2013-11-23,"https://ko.wikinews.org/wiki/%EC%A0%84%EB%91%90%ED%99%98_%EC%A0%84_%EB%8C%80%ED%86%B5%EB%A0%B9%EC%9D%98_%EB%AF%B8%EC%88%A0_%EC%9E%91%ED%92%88%EB%93%A4,_%EA%B2%BD%EB%A7%A4_%EA%B3%BC%EC%A0%95%EC%97%90_%EB%93%A4%EC%96%B4%EA%B0%80","전두환 전 대통령의 미술 작품들, 경매 과정에 들어가","전두환 전 대통령 일가가 빼앗긴 미술품들의 가치가 주목받고 있다.
매각주관사인 케이옥션과 서울옥션은 미술품들을 재평가 하면서 압류되어 가치 평가 절차를 밟고 있는 500-600점의 미술품들 중 주요 작품인 근현대 서양화가 김환기 및 이대원의 서양화 작품, 겸재 정선의 작품 등으로 가격은 20~100억원선으로 추산된다고 밝혔다.
그 외 전두환 전 대통령 본인의 친필 휘호, 고 김대중 대통령의 친필 휘호, 전씨 일가 소유 일본 만화 '오 나의 여신님' 포스터, 전재국과 전재용 씨가 직접 그린 그림 등 가치 산정이 어려운 그림도 포함되어 있었다."
2013-11-24,"https://ko.wikinews.org/wiki/%EC%9D%B4%EB%9E%80,_%ED%95%B5%ED%98%91%EC%83%81_%ED%83%80%EA%B2%B0","이란, 핵협상 타결","이란 핵협상이 4일간의 협상 끝에 타결됐다. 5% 미만의 농축 우라늄만을 생산하고, 중수로 발전소를 가동하지 않으며, 현재 보유한 고농축 우라늄을 모두 희석하기로 했다.
현지 시각으로 24일, 이란과 5개 유엔 상임위,독일은 이란 핵과 관련해 합의에 도달했다고 EU 캐서린 에슈턴 외무·안보 고위대표와 자바드 자리프 이란 외무장관이 공식적으로 발표했다. 그러나, 이번 합의는 6개월간의 단계적 이행을 조건으로 하고 있어, 양측의 신뢰가 요구된다
이러한 합의에 따라 이란은 기존에 동결된 석유 관련 자산 42억 달러를 회수할 수 있게 되었다. 수출이 동결된 석유화학 제품, 차량 관련 품목 19억 달러도 내다 팔수 있게 됐다. BBC등은 이를 통해 얻게 될 돈을 다음 6개월 동안 70억 달러 등으로 분석하고 있다."
2013-11-25,"https://ko.wikinews.org/wiki/%EC%A0%95%ED%99%8D%EC%9B%90,_%EC%8B%9D%EB%AF%BC%EC%A7%80%EA%B7%BC%EB%8C%80%ED%99%94%EB%A1%A0_%EC%98%B9%ED%98%B8","정홍원, 식민지근대화론 옹호","정홍원(69) 국무총리가 일본 식민지배를 미화하는 식민지 근대화론을 옹호하는 취지의 발언을 했다. 최근 논란이 된 교학사 교과서를 옹호하는 발언이다.
25일 서울 국회 대회의장에서 열린 교육·사회·역사 분야 대정부 질문에서 도종환 민주당 의원의 교학사 역사교과서가 일본 식민지배에 대해 부적절하게 기술했다는 질문에 ""역사를 전체적인 맥락에서 볼 필요도 있다""며 ""역사 진실에 반하거나 오류가 있는 내용은 교육부에서 시정할 예정""이라고 했다. 또 ""교학사 뿐 아니라 8종 교과서 모두에 오류가 있고 이를 수정 중이""라며 좌편향 교과서에도 수정이 필요하다는 주장을 했다.
역사 교과서 오류 문제를 일으킨 교육부 장관과 담당자의 문제에 관해서도 ""해임시킬 일까지는 아니다""라며 분명히 선을 그었다.""교육부의 수정·보완으로도 고쳐지지 않는다면 그건 어쩔 수 없는 문제""라는 무책임한 발언으로 야당 의원이 집단 퇴정하면서 대정부질문이 정회되기도 했다."
2013-11-26,"https://ko.wikinews.org/wiki/%27%EC%8B%9C%EA%B5%AD%EB%AF%B8%EC%82%AC%27_%EB%B0%95%EC%B0%BD%EC%8B%A0_%EC%8B%A0%EB%B6%80,_%EA%B3%A0%EB%B0%9C%EB%8B%B9%ED%95%B4","'시국미사' 박창신 신부, 고발당해","시국미사 중 북한의 연평도 포격을 옹호하는 듯한 발언으로 논란이 된 박창신 신부가 검찰에 고발당했다. 수사는 대검찰청 혹은 전주지검 군산지청에서 맡을 것으로 예측된다.
고발인인 보수·반북단체는 박 신부가 강론에서 한 연평도 포격과 천안함 사건 등에 대한 발언을 문제삼고 있다. 고발인은 박 신부가 국가보안법 위반과 내란을 선동했다고 주장한다. 해당 발언은 지난 22일 군산시 수송동 성당에서 '불법 선거 규탄과 대통령 사퇴를 촉구하는 시국미사' 진행 중 나왔다. ""이번 사태의 핵심인 이명박 전 대통령을 구속하여야 하며, 박근혜 대통령은 사퇴해야 한다""는 것이 강론의 주요 내용이었다. 강론의 말미에 나온 ""독도는 우리 땅인데 일본이 자기 땅이라고 하면서 독도에서 훈련하려고 하면 대통령이 어떻게 해야 해요? 쏴버려야 하지, 안 쏘면 대통령이 문제 있어요""라며 ""NLL에서 한미 군사운동을 계속하면 북한에서 어떻게 해야 하겠어요? 북한에서 쏴야죠. 그것이 연평도 포격이에요"" 라는 발언이 문제가 됐다.
이 고발에 대해 천주교 전주교구 정의구현사제단은 입장을 밝히지 않았다. 한편 가톨릭계 일부에서는 박 신부와 정의구현사제단을 교황청에 고발할 계획으로 알려졌다."
2013-11-27,"https://ko.wikinews.org/wiki/%EB%8F%85%EC%9D%BC_%EA%B8%B0%EB%AF%BC%EB%8B%B9,_%EC%82%AC%EB%AF%BC%EB%8B%B9%EA%B3%BC_%EB%8C%80%EC%97%B0%EC%A0%95_%ED%95%A9%EC%9D%98","독일 기민당, 사민당과 대연정 합의","앙겔라 메르켈의 독일 기독민주당(기민당)이 중도 좌파 사회민주당(사민당)과의 대연정 구성에 합의했다고 27일(현지시간) 밝혔다.
기민당 미하엘 그로세 브뢰머 의원과 안네그레트 크람프-카렌바우어 자를란트 주 총리는 양 당이 전날 저녁부터 밤샘 협상을 한 결과, 새벽 5시(현지시간)경 대연정에 합의했다고 밝혔다. 연정 협상에서 기민당은 전국 최저임금제 도입, 연금 인상, 추가 과세 없는 인프라 건설 방안, 동성 커플 차별 철폐 등에 합의했다고 알려졌다.
양 당은 오늘 기자회견을 열고 연정과 관련한 세부 사항을 발표할 계획이지만, 일단 사민당이 47만 4천여명의 전 당원 표결을 통과해야 하는 등 변수가 남아 있어 내각 발표까지는 2주경 걸릴 것이라는 예상이다. 특히 당원 표결은 독일 시사주간 《슈피겔》이 예측불가의 위험이라고 표현할 정도로 결과를 단정지을 수 없다는 예상이다. 사민당 당원이 연정을 승인하면 메르켈은 다음달 17일 또는 18일경 총리로 정식 취임한다."
2013-11-28,https://ko.wikinews.org/wiki/%271%EC%B0%A8_%EC%9D%B8%ED%98%81%EB%8B%B9_%EC%82%AC%EA%B1%B4%27_48%EB%85%84_%ED%9B%84_%EC%9E%AC%EC%8B%AC%EC%97%90%EC%84%9C_%EB%AC%B4%EC%A3%84,'1차 인혁당 사건' 48년 후 재심에서 무죄,"지난 1964년 1차 인민혁명당 사건에서 유죄 판결을 받았던 관련자들이 48년만의 재심에서 무죄를 선고받았다.
오늘 서울고법 형사 9부(재판장 김주현)는 반공법 위반 혐의로 기소돼 징역 1년과 집행유예 3년~징역 3년을 선고받았던 고(故) 도예종 외 9명에 대해 무죄를 선고했다. 재판부는 ""제출된 증거에 비추어 보아 피고들은 영장 없이 조사를 받았고 가족과의 면담·접견이 거부된 상태에서 검찰 조사를 받았""다며 ""진실·화해를 위한 과거사 정리위원회와 당시 국회 조사자료를 볼 때 인혁당이 실체나 북한의 강령을 가진 구체적 조직임을 인정할 수 없다""고 밝혔다. 헌정질서를 문란하게 했는지 여부도 확실치 않다는 것이다. 재판부는 피고의 몸에 고문의 흔적이 있고, 변호인과의 면담·접견권이 불인정된 상태에서 수사를 받았다는 점 등을 토대로 국가의 불법행위를 인정했다. 그러나 당시 기소된 13명 중 이들 8명을 제외한 4명은 재심 청구가 기각돼 누명을 씻지 못했다.
과거 중앙정보부는 1964년 8월 도예종 등 언론인·학생 41명을 검거했다고 발표했다. 중앙정보부에 따르면 “이들은 조선민주주의인민공화국 노동당으로부터 지령을 받아 반(反)정부 조직인 인민혁명당(인혁당)을 결성하여 각계 인사를 모으면서 국가 사변(事變)을 기획했다”."
2013-11-29,"https://ko.wikinews.org/wiki/%EC%83%88%EB%88%84%EB%A6%AC%EB%8B%B9,_%ED%99%A9%EC%B0%AC%ED%98%84_%EA%B0%90%EC%82%AC%EC%9B%90%EC%9E%A5_%EC%9D%B8%EC%A4%80%EC%95%88_%EB%8B%A8%EB%8F%85_%EC%B2%98%EB%A6%AC","새누리당, 황찬현 감사원장 인준안 단독 처리","대한민국 새누리당의 황찬현 감사원장 인준안 단독 처리로 정국이 얼어붙고 있다. 여야의 강경파가 당을 장악하면서 대립 구조가 해결되기는 커녕 대립이 격화되는 분위기다.
김한길 민주당 대표는 오늘 비공개 의원총회에서 국회 의사일정 전면 보이콧에 자신의 당 대표직을 걸겠다고 선언했다. 의사일정 전면 거부를 두고 당내 의견이 일치되지 않자 자신의 당대표직을 건 것이다. 김 대표는 ""12월 말에 예산을 걸고 투쟁해야 한다는 의견이 있는 것을 안다. 그러나 지금은 투쟁해야 할 때""라고 발언한 것으로 전해졌다. 국가기관 대선개입 의혹 관련 특검과 국가정보원 개혁특별위원회를 관철하기 위한 것으로 풀이된다. 이 같은 민주당의 초강경 태세에도 새누리당 또한 강경한 자세를 유지하고 있다. 강경파가 장악한 새누리당 지도부는 ""특검의 특자도 논의할 수 없""다는 입장이고, 감사원장 인준안도 전날 단독으로 처리한 것이다. 새누리당은 민생과 정쟁은 분리된 것이라며 민주당이 국회 예산과 민생법안을 볼모로 잡지 말라고 성토했다. 최경환 원내대표는 ""정기국회가 장사로 따지면 이제 문을 닫아야 할 그런 마당인데 다시 시장을 열자고 하자는 꼴이 됐다""면서 ""국민의 눈높이에 입각해 상식적 자세를 가질 것을 민주당에 엄중히 촉구""한다고 밝혔다.
한편 민주당은 강창희 국회의장에게 항의의 뜻을 전했고 '사퇴 촉구 결의안'을 제출했다. 강창희 의장은 ""아쉬움과 인간적 미안함이 있""다는 취지의 말을 한 것으로 전해졌다."
2013-11-30,https://ko.wikinews.org/wiki/%EC%A1%B0%EC%84%A0%EB%AF%BC%EC%A3%BC%EC%A3%BC%EC%9D%98%EC%9D%B8%EB%AF%BC%EA%B3%B5%ED%99%94%EA%B5%AD%EC%97%90_%EC%96%B5%EB%A5%98_%EC%A4%91%EC%9D%B8_%EB%AF%B8%EA%B5%AD_%EC%8B%9C%EB%AF%BC%EA%B6%8C%EC%9E%90%EC%9D%98_%EC%82%AC%EC%A3%84%EB%AC%B8_%EA%B3%B5%EA%B0%9C%EB%8F%BC,조선민주주의인민공화국에 억류 중인 미국 시민권자의 사죄문 공개돼,"조선민주주의인민공화국에 억류 중인 미국 시민권자 메릴 뉴먼(85)의 사죄문이 조선민주주의인민공화국에 의해 공개됐다.
30일 조선중앙통신은 ""공화국의 관련 기관이 관광객으로 입국해 적대행위를 한 미국 공민 메릴 에드워드 뉴먼을 억류했고, 뉴먼은 자신의 죄에 대해 사죄했다""고 밝혔다. 이와 함께 메릴 뉴먼이 작성한 사죄문을 공개했다. 조선중앙통신이 공개한 영상에는 본인이 작성한 사죄문에 지장을 찍는 장면과 그 사죄문을 읽는 장면이 담겨 있었다.
뉴먼은 사죄문에서 ""(구월부대) 생존자들, 가족, 후손을 혼자서 찾는 일이 너무 힘들어 여행 중 가이드에게 도움을 요청했다""고 밝혔다. 이어 ""가이드에게 6·25 당시 월남한 사람들로 구성된 '구월산유격군전우회' 회원들의 주소와 이메일 주소를 전달했다""고 밝혔다. ""조선민주주의인민공화국과 조선 인민에게 용서를 빈""다며 선처를 호소하기도 했다.
뉴먼이 올해 85세의 고령인데다 심장 질환을 앓고 있어 계속 억류 시 신변에 문제가 생길 수 있다는 점을 들어 조선민주주의인민공화국이 뉴먼을 석방하는 것이 아니냐는 관측이 제기되고 있다. 뉴먼은 6·25 전쟁 참전용사로 10월 26일 10일간의 북한 여행을 마치고 평양에서 베이징행 비행기를 타고 떠나기 직전 체포돼 억류 중이었다."
2013-11-30,"https://ko.wikinews.org/wiki/%EB%B0%95%EA%B7%BC%ED%98%9C_%EB%8C%80%ED%86%B5%EB%A0%B9,_KADIZ_%ED%99%95%EB%8C%80_%EC%A7%80%EC%8B%9C","박근혜 대통령, KADIZ 확대 지시","박근혜 대한민국 대통령이 대한민국 공군 방공식별구역(KADIZ)의 확대를 지시한 것으로 알려졌다.
대한민국 정부는 KADIZ를 남쪽으로, 최소한 홍도, 마라도, 이어도를 포함하도록 확대하는 것으로 정하고, 내부 조율을 거치고 있는 것으로 알려졌다. 이는 중국의 방공식별구역 CADIZ가 이어도를 포함하도록 변경된 것이 주요한 이유로 작용했다. 이번 CADIZ의 확대로 중국과 대한민국은 제주도 서남쪽 일부 영공이 겹치게 되는 것으로 알려졌다. 현재 정부는 세가지에서 네가지의 안을 두고 계획 중으로 알려져 있으며, 어떻게 확대가 되던 일본 방공식별구역 JADIZ에는 포함되었지만 KADIZ에는 포함되지 않은 홍도와 마라도 일부 구역이 포함되게 될 것으로 예상된다. 해당 안들은 다음달 3일 국회의 조율을 거쳐 확대안이 확정될 계획이다.
한편, 미국 정부는 민간 항공기에 한해 새로 설정된 중국의 CADIZ 통과 시 통보 요구를 받아들이라고 권고했다. 이는 일본의 통보 불필요 방침과는 대비되는 것이다. 양국 모두 군용기는 중국에 통보 없이 운용하고 있다."
2013-12-01,https://ko.wikinews.org/wiki/%EA%B2%A8%EC%9A%B8%EC%B2%A0_%EC%A0%84%EB%A0%A5_%EC%88%98%EA%B8%89%EC%97%90_%EB%B9%84%EC%83%81_%EA%B1%B8%EB%A0%A4,겨울철 전력 수급에 비상 걸려,"날씨가 쌀쌀해져 전력 수요가 급증하는 가운데, 고리 원자력발전소 1호기와 한빛 (구 영광)원자력발전소 4호기가 고장나 전력 수급이 불안정할 전망이다.
28일 한국수력원자력에 따르면 설비용량 58만 kW(킬로와트)급의 고리원전 1호기의 발전을 오전 1시경부터 중단했다는 것이다. 한수원은 이 고장을 ""터빈 고장""으로 보고 있다고 밝혔다. 정확한 원인은 아직 파악되지 않은 것으로 전해졌다.
고리 1호기는 정비를 마친 지 3개월도 되지 않아 다시 고장이 난 바람에 겨울철 전력 수급에 차질이 생길 지 모른다는 우려가 고개를 들고 있다.
현재 대한민국에 있는 23기의 원전 중 6기가 운행을 중단한 가운데, 100만kW급 한빛 4호기가 정비 중 헤드 관통부에서 6개의 미세한 균열이 발생돼 추가 용접이 불가피한 상황이다. 준비 기간과 원자력위원회의 승인 기간을 고려하면 3주 이상이 걸릴 것으로 보인다. 전력당국은 내년 1월 중순을 전력수요 피크로 보고 있으며, 최대 전력 수요를 8000만 kW~8100만 kW로 잡고 있다."
2013-12-02,"https://ko.wikinews.org/wiki/%EB%B0%95%EA%B7%BC%ED%98%9C_%EB%8C%80%ED%86%B5%EB%A0%B9,_%ED%99%A9%EC%B0%AC%ED%98%84_%EA%B0%90%EC%82%AC%EC%9B%90%EC%9E%A5_%EC%9E%84%EB%AA%85","박근혜 대통령, 황찬현 감사원장 임명","박근혜 대한민국 대통령이 황찬현 감사원장 , 문형표 보건복지부 장관, 김진태 검찰청장 후보들에 대한 임명을 진행했다.
이정현 청와대 홍보수석은 임명에 앞서 오늘 낮 청와대에서 가진 브리핑에서 ""박 대통령이 경상북도 방문을 마치고 올라오는 대로 감사원장, 보건복지부 장관, 검찰청장에 대한 임명을 진행할 예정이다""라고 밝힌 바 있다. 이에 따라서 박근혜 대통령은 오후 경상북도 방문을 마치고 오후 4시 30분 상경하여 세 내정자에게 임명장을 부여한 후 환담을 나눴다.
박근혜 대통령은 28일 황찬현 감사원장의 임명동의안이 새누리당 단독으로 처리된 이후부터 임명 시기를 저울질해 온 것으로 알려졌다. 야당을 최대한 덜 자극하기 위해 여당과 야당의 대치가 잦아들기를 기다렸지만 단독 처리를 명분으로 국회 모든 일정을 보이콧하자 임명을 강행하기로 결심한 것으로 전해졌다. 청와대는 감사원과 검찰 수장의 장기간 부재로 인한 혼란을 빠르게 수습하기 위한 것이며, 기초연금 입법화를 빠르게 진행하기 위한 것이라고 해명했다. 국회가 예산안 법정 처리 시한을 넘기며 대치하는 상황에서 내각의 공백을 채워야 한다는 것이다.
이번 임명에 대해 민주당은 국회 정상화를 위한 여야 당대표·원내대표 4자회담 중에 임명을 강행한 것은 ""정국 정상화를 위한 4자회담을 열고 있는 시각에 야당이 반대하고 정국 냉각 원인을 제공한 감사원장과 복지부장관 임명을 강행한 것은 도저히 이해할 수 없다”며 “이는 명백히 국회를 무시하는 처사""라는 입장을 밝혔다."
